Segment Id	Segment Name	Last Updated On
3890	zeotap > Italy > Demographics > Province: Torino	2018-02-23 06:06:43
3570	zeotap > Italy > Demographics > Language: Russian	2018-02-23 06:06:43
4037	zeotap > Italy > Demographics > Province: Bari	2018-02-23 05:25:22
5197	zeotap > Italy > Interest > Business (App Usage)	2018-02-27 10:00:42
4882	zeotap > UK > Interest > Business Professionals (App Usage)	2018-02-19 07:26:45
4655	zeotap > UK > Interest > Business Professionals (App Usage)	2018-02-19 07:26:45
578	zeotap > US > Automotive > Vehicle Type: Full Size Car	2018-03-05 12:25:51
3413	zeotap > Canada > Demographics > Age: 55-64	2018-03-04 03:46:11
4615	zeotap > Italy > Interest > Business (App Usage)	2018-02-27 10:00:42
4711	zeotap > Spain > Interest > Car Sharing & Cabs	2018-02-27 11:26:51
3569	zeotap > Italy > Demographics > Language: Russian	2018-02-23 04:17:16
5041	zeotap > Italy > Demographics > Province: Padova	2018-03-05 07:53:19
5077	zeotap > Italy > Interest > Business (App Usage)	2018-02-27 10:00:42
1507	zeotap > Italy > Demographics > Region: Nielsen Area 3	2018-02-23 06:06:43
3601	zeotap > Canada > Venus II	2018-03-04 03:46:11
3745	zeotap > Italy > Demographics > Province: Catania	2018-02-23 06:06:43
4089	Zeotap > Italy > Appusage > Entertainment	2018-03-05 10:49:03
5556	zeotap > Spain > Demographic > Province: Jaén	2018-03-04 07:46:41
4044	zeotap > Italy > Demographics > Province: Messina	2018-02-23 05:25:22
5362	Zeotap > Italy > Appusage > Entertainment	2018-03-05 10:49:03
4616	zeotap > Italy > Interest > Business (App Usage)	2018-02-27 10:00:42
450	zeotap > Spain > Demographics > Age: 18-24	2018-03-01 05:14:25
4078	zeotap > India > High ARPU (ICICI)	
4046	zeotap > Italy > Demographics > Province: Napoli	2018-02-23 05:25:22
3348	zeotap > Italy > Demographics > Age > Generation: Baby Boomers (55+)	2018-02-23 04:17:16
3603	zeotap > Canada > Charmin II	2018-03-04 03:46:11
3793	zeotap > Italy > Demographics > Region: Sicilia	2018-02-23 06:06:43
4187	Zeotap > Italy > Appusage > Entertainment	2018-03-05 10:49:03
4709	zeotap > Spain > Interest > Car Sharing & Cabs	2018-02-27 11:26:51
3091	zeotap > Italy > Demographics > Income: High	2018-02-23 06:06:43
4029	zeotap > Spain > Mobile Contract > Customer Type: Small Business	2018-02-23 03:33:30
3483	zeotap > Italy > Mobile Contract > Payment Type: Post-paid	2018-02-23 04:55:39
3805	zeotap > Italy > Demographics > Region: Toscana	2018-02-23 06:06:43
4710	zeotap > Spain > Interest > Car Sharing & Cabs	2018-02-27 11:26:51
4772	zeotap > Spain > Demographics > Gender: Male / Men	2018-02-23 04:32:10
4086	Zeotap > Italy > Appusage > Mum	2018-03-05 10:52:04
4020	zeotap > Spain > Demographics > Region: Canaris	2018-02-23 03:33:30
3602	zeotap > Canada > Bounty II	2018-03-04 03:46:11
4771	zeotap > Spain > Demographics > Gender: Female / Women	2018-02-23 04:32:10
4017	zeotap > Spain > Demographics > Household Size: 2	2018-02-23 03:33:30
4794	zeotap > Spain > Interest > Auto - SUV	2018-02-23 04:32:10
4802	zeotap > Spain > Interest > Hobbies & Interests > Board Games/Puzzles	2018-02-23 04:32:10
449	zeotap > Spain > Demographics > Gender: Female / Women	2018-03-01 05:14:35
4777	zeotap > Spain > Demographics > Income: High	2018-02-23 04:32:10
4805	zeotap > Spain > Interest > Hobbies & Interests > Video & Computer Games	2018-02-23 04:32:10
5552	zeotap > India > Interest > Beauty, Lifestyle and Fashion Affuents	
3265	zeotap > Spain > Demographics > Age: 18+	2018-02-23 03:33:30
4806	zeotap > Spain > Interest > News	2018-02-23 04:32:10
4447	zeotap > France > Interest > Business Professionals (App Usage)	2018-02-27 03:21:02
3516	zeotap > Italy > Demographics > Region: Campania	2018-02-23 04:55:39
4798	zeotap > Spain > Interest > Hobbies & Interests	2018-02-23 04:32:10
3994	zeotap > Spain > Demographic > Province: Melilla	2018-02-23 03:33:30
4803	zeotap > Spain > Interest > Hobbies & Interests > Photography	2018-02-23 04:32:10
5365	Zeotap > Italy > Appusage > Mum	2018-03-05 10:52:04
4680	zeotap > India > M/F > 18-34 > ARPU (Redbull)	
4009	zeotap > Spain > Demographic > Province: Teruel	2018-02-23 03:33:30
3993	zeotap > Spain > Demographic > Province: Málaga	2018-02-23 03:33:30
4446	zeotap > France > Interest > Business Professionals (App Usage)	2018-02-27 03:21:02
4764	zeotap > Spain > Demographics > Age: 18+	2018-02-23 04:32:10
4817	zeotap > UK > Demographics > Age: 55-64	2018-02-23 05:19:22
4877	zeotap > Spain > Interest > Science > Weather	2018-02-23 04:32:10
4212	zeotap > Spain > Identity > McDonalds new users	2018-02-19 11:07:47
4810	zeotap > Spain > Interest > Sports > NASCAR Racing	2018-02-23 04:32:10
4823	zeotap > UK > Interest > Arts & Entertainment > Music	2018-02-23 05:19:22
3997	zeotap > Spain > Demographic > Province: Ourense	2018-02-23 03:33:30
4830	zeotap > UK > Interest > Science > Weather	2018-02-23 05:19:22
1516	zeotap > Spain > Demographics > Region: Eastern Spain	2018-02-27 14:41:12
452	zeotap > Spain > Demographics > Age: 35-44	2018-03-01 05:15:30
4297	zeotap > USA > Interest > Art & Design (App Usage)	2018-02-01 15:19:40
4818	zeotap > UK > Demographics > Age: 65+	2018-02-23 05:19:22
4713	zeotap > Spain > Interest > Household Decision Makers	2018-02-27 12:41:26
4822	zeotap > UK > Interest > Arts & Entertainment > Books & Literature	2018-02-23 05:19:22
3411	zeotap > Canada > Demographics > Age: 45-54	2018-03-04 03:46:11
3614	zeotap > India > Female 25-44 (ITC)	
4296	zeotap > USA > Interest > Art & Design (App Usage)	2018-02-01 15:19:40
3580	zeotap > Spain > Demographics > Top Cities	2018-02-23 03:33:30
3233	zeotap > US > Demographic > Wealth Percentile: 0-10	
4833	zeotap > UK > Interest > Sports > Auto Racing	2018-02-23 05:19:22
4184	Zeotap > Italy > Appusage > Mum	2018-03-05 10:52:04
3263	zeotap > Spain > Demographics > Age: 25-34	2018-02-23 03:33:30
4714	zeotap > Spain > Interest > Household Decision Makers	2018-02-27 12:41:26
3972	zeotap > Spain > Demographic > Province: Bilbao	2018-02-23 03:33:30
453	zeotap > Spain > Demographics > Age: 45-54	2018-03-01 05:15:43
4255	zeotap > Spain > Interest > Retail - FMCG	2018-02-27 01:43:15
4248	zeotap > Spain > Interest > Nightlife & Clubs	2018-02-27 03:26:47
4245	zeotap > Spain > Interest > TV, Cinema & Series lovers	2018-02-27 02:14:12
4242	zeotap > Spain > Interest > Music Festival Lovers	2018-02-27 03:04:24
4821	zeotap > UK > Interest > Arts & Entertainment	2018-02-23 05:19:22
4800	zeotap > UK > Demographics > Age: 18-24	2018-02-23 05:19:22
5345	zeotap > Spain > Demographics > Region: Southern Spain	2018-03-04 07:46:41
4450	zeotap > Germany > Interest > Beauty & Cosmetics (App Usage)	2018-02-05 06:25:45
454	zeotap > Spain > Demographics > Age: 55-64	2018-03-01 05:16:04
3405	zeotap > Canada > Demographics > Age: 18-24	2018-03-04 03:46:11
5517	zeotap > Spain > Demographic > Province: Ceuta	2018-03-04 07:46:41
